Set1;Set2
[1,1,1,1,1];[1,1,3]
[1,1,1,1,1,1];[1,1,1,3]
[1,5];[3,3]
[1,1,1,1,1,1,1];[1,1,1,1,3]
[1,1,5];[1,3,3]
[1,1,1,1,1,1,1,1];[1,1,1,1,1,3]
[1,1,1,5];[1,1,3,3]
[1,7];[3,5]
[1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,3]
[1,1,1,1,5];[1,1,1,3,3]
[1,1,7];[1,3,5]
[1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,3]
[1,1,1,1,1,5];[1,1,1,1,3,3]
[1,1,1,7];[1,1,3,5]
[1,3,3,3];[1,9]
[3,7];[5,5]
[1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,5];[1,1,1,1,1,3,3]
[1,1,1,1,7];[1,1,1,3,5]
[1,1,3,3,3];[1,1,9]
[1,3,7];[1,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,5];[1,1,1,1,1,1,3,3]
[1,1,1,1,1,7];[1,1,1,1,3,5]
[1,1,1,3,3,3];[1,1,1,9]
[1,1,3,7];[1,1,5,5]
[1,3,3,5];[1,11]
[3,3,3,3];[3,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,7];[1,1,1,1,1,3,5]
[1,1,1,1,3,3,3];[1,1,1,1,9]
[1,1,1,3,7];[1,1,1,5,5]
[1,1,3,3,5];[1,1,11]
[1,3,3,3,3];[1,3,9]
[1,5,7];[3,3,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,7];[1,1,1,1,1,1,3,5]
[1,1,1,1,1,3,3,3];[1,1,1,1,1,9]
[1,1,1,1,3,7];[1,1,1,1,5,5]
[1,1,1,3,3,5];[1,1,1,11]
[1,1,3,3,3,3];[1,1,3,9]
[1,1,5,7];[1,3,3,7]
[1,3,5,5];[1,13]
[3,3,3,5];[3,11]
[5,9];[7,7]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,9]
[1,1,1,1,1,3,7];[1,1,1,1,1,5,5]
[1,1,1,1,3,3,5];[1,1,1,1,11]
[1,1,1,3,3,3,3];[1,1,1,3,9]
[1,1,1,5,7];[1,1,3,3,7]
[1,1,3,5,5];[1,1,13]
[1,3,3,3,5];[1,3,11]
[1,5,9];[1,7,7]
[3,3,3,3,3];[3,3,9]
[3,5,7];[5,5,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,3,7];[1,1,1,1,1,1,5,5]
[1,1,1,1,1,3,3,5];[1,1,1,1,1,11]
[1,1,1,1,3,3,3,3];[1,1,1,1,3,9]
[1,1,1,1,5,7];[1,1,1,3,3,7]
[1,1,1,3,5,5];[1,1,1,13]
[1,1,3,3,3,5];[1,1,3,11]
[1,1,5,9];[1,1,7,7]
[1,3,3,3,3,3];[1,3,3,9]
[1,3,5,7];[1,5,5,5]
[1,15];[3,3,3,7]
[3,3,5,5];[3,13]
[5,11];[7,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,5,5]
[1,1,1,1,1,1,3,3,5];[1,1,1,1,1,1,11]
[1,1,1,1,1,3,3,3,3];[1,1,1,1,1,3,9]
[1,1,1,1,1,5,7];[1,1,1,1,3,3,7]
[1,1,1,1,3,5,5];[1,1,1,1,13]
[1,1,1,3,3,3,5];[1,1,1,3,11]
[1,1,1,5,9];[1,1,1,7,7]
[1,1,3,3,3,3,3];[1,1,3,3,9]
[1,1,3,5,7];[1,1,5,5,5]
[1,1,15];[1,3,3,3,7]
